2026-04-02T01:58:33Z,6379.4,76737.5,28.3
2026-04-02T01:59:33Z,6380.1,76734.6,28.3
2026-04-02T02:00:33Z,6379.9,76710.5,28.3
2026-04-02T02:01:33Z,6381.7,76638.6,28.3
2026-04-02T02:02:33Z,6378.1,76722.6,28.3
2026-04-02T02:03:33Z,6369.5,76921.0,28.4
2026-04-02T02:04:33Z,6372.6,76851.6,28.3
2026-04-02T02:05:33Z,6376.7,76760.5,28.3
2026-04-02T02:06:33Z,6376.4,76768.4,28.3
2026-04-02T02:07:33Z,6376.0,76782.8,28.3
2026-04-02T02:08:33Z,6376.2,76776.7,28.3
2026-04-02T02:09:33Z,6376.3,76771.8,28.3
2026-04-02T02:10:33Z,6376.3,76771.9,28.3
2026-04-02T02:11:33Z,6376.3,76772.0,28.3
2026-04-02T02:12:33Z,6376.3,76771.8,28.3
2026-04-02T02:13:33Z,6376.3,76771.7,28.3
2026-04-02T02:14:33Z,6376.3,76771.6,28.3
2026-04-02T02:15:33Z,6376.3,76771.6,28.3
2026-04-02T02:16:33Z,6376.3,76771.5,28.3
2026-04-02T02:17:33Z,6376.3,76771.4,28.3
2026-04-02T02:18:33Z,6376.3,76771.4,28.3
2026-04-02T02:19:33Z,6376.3,76771.3,28.3
2026-04-02T02:20:33Z,6376.3,76771.3,28.3
2026-04-02T02:21:33Z,6376.3,76771.2,28.3
2026-04-02T02:22:33Z,6376.3,76771.1,28.3
2026-04-02T02:23:33Z,6376.3,76771.1,28.3
2026-04-02T02:24:33Z,6376.3,76771.1,28.3
2026-04-02T02:25:33Z,6376.3,76771.0,28.3
2026-04-02T02:26:33Z,6376.3,76771.0,28.3
2026-04-02T02:27:33Z,6376.3,76770.9,28.3
2026-04-02T02:28:33Z,6376.3,76770.9,28.3
2026-04-02T02:29:33Z,6376.3,76770.8,28.3
2026-04-02T02:30:33Z,6376.3,76770.8,28.3
2026-04-02T02:31:33Z,6376.3,76770.8,28.3
2026-04-02T02:32:33Z,6376.2,76770.7,28.3
2026-04-02T02:33:33Z,6376.2,76770.7,28.3
2026-04-02T02:34:33Z,6376.2,76770.6,28.3
2026-04-02T02:35:33Z,6376.2,76770.6,28.3
2026-04-02T02:36:33Z,6376.2,76770.6,28.3
2026-04-02T02:37:33Z,6376.2,76770.6,28.3
2026-04-02T02:38:33Z,6376.2,76770.5,28.3
2026-04-02T02:39:33Z,6376.2,76770.5,28.3
2026-04-02T02:40:33Z,6376.2,76770.5,28.3
2026-04-02T02:41:33Z,6376.2,76770.4,28.3
2026-04-02T02:42:33Z,6376.2,76770.4,28.3
2026-04-02T02:43:33Z,6376.2,76770.4,28.3
2026-04-02T02:44:33Z,6376.2,76770.4,28.3
2026-04-02T02:45:33Z,6376.2,76770.3,28.3
2026-04-02T02:46:33Z,6376.2,76770.3,28.3
2026-04-02T02:47:33Z,6376.2,76770.3,28.3
2026-04-02T02:48:33Z,6376.2,76770.3,28.3
2026-04-02T02:49:33Z,6376.2,76770.2,28.3
2026-04-02T02:50:33Z,6376.2,76770.2,28.3
2026-04-02T02:51:33Z,6376.2,76770.2,28.3
